Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
元,もと,"1. origin, source<br>2. base, basis, foundation, root<br>3. cause<br>4. ingredient, material<br>5. (somebody's) side, (somebody's) location<br>6. original cost (or capital, principal, etc.)<br>7. (plant) root, (tree) trunk<br>8. first section of a waka<br>9. counter for blades of grass, tree trunks, etc., and for falcons (in falconry)<br>10. handle (chopsticks, brush, etc.), grip",N3,2,<b>元</b>はといえば　ムギちゃんがお菓子,"Originally, Mugi-chan was the candy.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
いい加減,いいかげん,"1. irresponsible, perfunctory, careless<br>2. lukewarm, half-baked, halfhearted, vague<br>3. reasonable, moderate<br>4. considerably, quite, rather, pretty",N1,2,私　こういう　<b>いい加減</b>な部だとは,I never thought I'd be this lazy.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
一度,いちど,"1. once, one time, on one occasion<br>2. temporarily, for a moment<br>3. one degree, one tone, one musical interval",N4,2,もう<b>一度</b>　入る勇気がない,I don't have the courage to enter again,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
うふ,うふふ,1. tee-hee,Unlabeled,2,♬～<b>うふ</b>うふ　ハートのあたり,♬～Ufuufu Around the heart,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
あたり,あたり,"1. (in the) neighbourhood, neighborhood, vicinity, nearby, surroundings<br>2. around, about, or thereabouts<br>3. for instance, say, such as",Unlabeled,2,さっき<b>あたり</b>から何となく,Somehow from around now,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
幸せ,しあわせ,"1. happiness, good fortune, luck, blessing",N3,2,私達を<b>幸せ</b>にしてくれた,made us happy,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
反省会,はんせいかい,"1. evaluation meeting, postmortem session, review meeting",Unlabeled,2,さっきの<b>反省会</b>でもするか,Shall we do it at the review meeting earlier?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ドキドキ,ドキドキ,"1. thump-thump, bang-bang, pit-a-pat, pitapat, pitter-patter<br>2. to beat fast (of one's heart), to throb, to pound, to palpitate",Unlabeled,2,<b>ドキドキ</b>させられると思ったけどな,I thought it would make my heart flutter.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
琴吹,琴吹,Kotobuki,Unlabeled,2,<b>琴吹</b>家自慢の紅茶よ,This is the Kotobuki family's proud tea.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
自慢,じまん,"1. pride, boast",N3,2,琴吹家<b>自慢</b>の紅茶よ,This is the Kotobuki family's proud tea.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
枚,まい,1. counter for flat objects (e.g. sheets of paper)<br>2. counter for positions or roles<br>3. counter for food portions (now only gyōza and soba)<br>4. counter for ranking level,N1,2,１<b>枚</b>ずつ　皮はがして食べようぜ,Let's peel off the skin and eat one by one.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
開ける,あける,"1. to open (a door, etc.), to unwrap (e.g. parcel, package), to unlock<br>2. to open (for business, etc.)<br>3. to empty, to remove, to make space, to make room<br>4. to move out, to clear out<br>5. to be away from (e.g. one's house), to leave (temporarily)<br>6. to dawn, to grow light<br>7. to end (of a period, season)<br>8. to begin (of the New Year)<br>9. to leave (one's schedule) open, to make time (for)<br>10. to make (a hole), to open up (a hole)",N5,2,<b>開ける</b>んだよって　お父さんが,My father told me to open it.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
年間,ねんかん,1. (period of) a year<br>2. during an era,N3,2,＜３<b>年間</b>　ここで　みんなと,<3 years here with everyone,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
受かる,うかる,1. to pass (examination),N1,2,だって　もう大学<b>受かっ</b>たし,Because I already got accepted to university.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ハサミ,はさみ,"1. scissors, shears, clippers<br>2. hole punch",Unlabeled,2,私　<b>ハサミ</b>持ってますよ,I have scissors,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
開く,ひらく,"1. to open, to undo, to unseal, to unpack<br>2. to bloom, to unfold, to spread out<br>3. to open (for business, e.g. in the morning)<br>4. to be wide (gap, etc.), to widen<br>5. to hold (meeting, party, etc.), to give, to open<br>6. to found (nation, dynasty, sect, etc.), to open (a new business), to set up, to establish, to start<br>7. to open (ports, borders, etc.)<br>8. to open (an account)<br>9. to open up (new land, path, etc.), to clear, to develop<br>10. to open (a file, etc.)<br>11. to extract (root), to reduce (equation)<br>12. to cut open (fish)<br>13. to change (kanji into hiragana)<br>14. to flare (e.g. skirt)<br>15. to slacken (into a poor posture)",N5,2,あ～　<b>開い</b>た,"Ah, it opened",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
名,な,"1. name, given name<br>2. title<br>3. fame, renown, reputation<br>4. pretext, pretense, justification, appearance",N3,2,体張ってバンド<b>名</b>を表してますね,They stand out and represent the band name.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
会議,かいぎ,"1. meeting, conference, session, assembly, council, convention, congress",N4,2,そんな大事な<b>会議</b>が！,Such an important meeting!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
足りる,たりる,"1. to be sufficient, to be enough<br>2. to be worth doing, to be worthy of, to deserve<br>3. to do (the job), to serve, to answer",N4,2,出席日数が<b>足り</b>てるか　赤点取った,Did you attend enough days? I got a red mark.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
取る,とる,"1. to take, to pick up, to grab, to catch<br>2. to pass, to hand, to give<br>3. to get, to obtain, to acquire, to win, to receive, to earn, to take (e.g. a vacation)<br>4. to adopt (a method, proposal, etc.), to take (a measure, attitude, etc.), to choose<br>5. to remove, to get rid of, to take off<br>6. to take away, to steal, to rob<br>7. to eat, to have (e.g. lunch), to take (e.g. vitamins)<br>8. to pick (e.g. flowers), to gather, to extract (e.g. juice), to catch (e.g. fish)<br>9. to take up (time, space), to occupy, to spare, to set aside<br>10. to secure, to reserve, to save, to put aside, to keep<br>11. to take (e.g. a joke), to interpret, to understand, to make out, to grasp<br>12. to record, to take down<br>13. to subscribe to (e.g. a newspaper), to take, to buy, to get<br>14. to order, to have delivered<br>15. to charge, to fine, to take (tax)<br>16. to take (e.g. a wife), to take on (e.g. an apprentice), to adopt, to accept<br>17. to compete (in sumo, cards, etc.), to play",N5,2,出席日数が足りてるか　赤点<b>取っ</b>た,Did you attend enough days? I got a red mark.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
審査,しんさ,"1. judging, inspection, examination, investigation, review",N1,2,数が多くないか　<b>審査</b>するのよ,I'll check to see if there are too many.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
マネ,まね,"1. imitating, copying, mimicry<br>2. behavior, behaviour, action, conduct",Unlabeled,2,ＤＥＡＴＨ　ＤＥＶＩＬの<b>マネ</b>してたんだよ,I was imitating DEATH DEVIL.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
今更,いまさら,"1. now (when it is already much too late), at this stage<br>2. afresh, anew, again",N1,2,⚟<b>今更</b>　ゴマすってもね,⚟Even if you give up now,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
山中,山中,Yamanaka,Unlabeled,2,<b>山中</b>さわ子大先生！,Professor Sawako Yamanaka!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
他,ほか,"1. other (place, thing, person), the rest<br>2. outside, beyond<br>3. nothing except, nothing but, nothing apart from, nothing aside from, no choice (but to)<br>4. besides..., in addition to...",N3,2,皆さん　<b>他</b>にリクエストはないですね,"Everyone, I don't have any other requests.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
物,もの,"1. thing, object, article, stuff, substance<br>2. one's things, possessions, property, belongings<br>3. things, something, anything, everything, nothing<br>4. quality<br>5. reason, the way of things<br>6. used to emphasize emotion, judgment, etc., used to indicate a common occurrence in the past (after a verb in past tense), used to indicate a general tendency, used to indicate something that should happen<br>7. item classified as ..., item related to ..., work in the genre of ...<br>8. cause of ..., cause for ...<br>9. somehow, somewhat, for some reason<br>10. really, truly",N5,2,うん　<b>物</b>でも事でもいいんだけどね,"Yeah, it could be something or something.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
真面目,しんめんもく,"1. one's true character, one's true self, one's true worth<br>2. serious, earnest",N3,2,「もうちょっとだけ<b>真面目</b>に,``Let's be a little more serious'',[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ほしい,ほしい,"1. wanted, wished for, in need of, desired<br>2. I want (you) to",Unlabeled,2,練習して<b>ほしい</b>かな」とか,Do you want me to practice?”,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ばっかり,ばかり,"1. only, merely, nothing but, no more than<br>2. approximately, about<br>3. just (finished, etc.)<br>4. as if to, (as though) about to<br>5. indicates emphasis<br>6. always, constantly",Unlabeled,2,世話になって<b>ばっかり</b>だしな,I've always been taken care of.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
だし,だし,"1. parade float, festival float",Unlabeled,2,世話になってばっかり<b>だし</b>な,I've always been taken care of.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
昨日,きのう,1. yesterday,N5,2,<b>昨日</b>　寝る前に,Yesterday before going to bed,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
書く,かく,"1. to write, to compose, to pen<br>2. to draw, to paint",N5,2,何か<b>書い</b>てたんですか？,Were you writing something?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
冷たい,つめたい,"1. cold (to the touch), chilly, icy, freezing<br>2. (emotionally) cold, coldhearted, unfeeling, indifferent, unfriendly, distant",N5,2,すごく手が<b>冷たい</b>の,My hands are really cold,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
意味,いみ,"1. meaning, significance, sense",N5,2,どういう<b>意味</b>だ,What does it mean?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ぐらい,くらい,"1. dark, gloomy, murky<br>2. depressed, dispirited, down in the dumps, dark (mood)<br>3. dark (in colour), dull<br>4. ill-boding, dark (e.g. past), suspicious<br>5. unlikely (to succeed), hopeless, unpromising<br>6. unfamiliar (with), ignorant (of)",N1,2,ちょっと<b>ぐらい</b>　いいじゃん　ケチ,It's okay to be a little bit stingy.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
和,ワ,Nodoka,N1,2,<b>和</b>ちゃん　おはよう,Kazu-chan Good morning,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
あら,あら,"1. oh, ah",N1,2,<b>あら</b>　おはよう,"Oh, good morning",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
申し込み,もうしこみ,"1. application, entry, request, subscription, offer, proposal, overture, challenge",N1,2,旅行会社へ<b>申し込み</b>に行くんだよ,I'm going to apply at a travel agency.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
買い,かい,"1. buying, shopping<br>2. buyer<br>3. purchase",Unlabeled,2,水着　<b>買い</b>に行こう,Let's go buy a swimsuit,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
初めて,はじめて,"1. for the first time<br>2. only after ... is it ..., only when ... do you ...",N5,2,私が<b>初めて</b>,my first time,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
どっ,どちら,"1. which way, which direction, where<br>2. which one (esp. of two alternatives)<br>3. who",Unlabeled,2,<b>どっ</b>かで聞いたことある名前だね,It's a name I've heard somewhere before.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
卒業式,そつぎょうしき,"1. graduation ceremony, commencement",Unlabeled,2,<b>卒業式</b>の日にクラス全員で,The whole class on graduation day,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ぜひ,ぜひ,"1. certainly, without fail<br>2. right and wrong, pros and cons",N4,2,ここは　<b>ぜひ</b>私達も,We would love to have you here too.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ふん,ふん,"1. minute (unit of time)<br>2. fun (one tenth of a monme, 5.787 grains)",Unlabeled,2,<b>ふん</b>ふん　ってダーメ！,"Hmph, no good!",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ダーメ,ダーメ,1. Dame (Auto-translated),Unlabeled,2,ふんふん　って<b>ダーメ</b>！,"Hmph, no good!",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
よそ,よそ,"1. another place, somewhere else, strange parts<br>2. outside (one's family or group), someone else, other people<br>3. not caring for, being indifferent to, taking little notice of, ignoring, neglecting",Unlabeled,2,<b>よそ</b>はよそ　うちはうち,"Outside is outside, inside is inside",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
うち,うち,"1. house<br>2. one's house, one's home, one's family, one's household",N4,2,よそはよそ　<b>うち</b>はうち,"Outside is outside, inside is inside",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
より,より,"1. than<br>2. from, out of, since, at, on<br>3. except, but, other than<br>4. more",N5,2,それ<b>より</b>も　梓に何がしてやれるか,What can I do for Azusa instead?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
もちろん,もちろん,"1. of course, certainly, naturally",N4,2,これ　<b>もちろん</b>先生には内緒で,"This, of course, is a secret from the teacher.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
教科書,きょうかしょ,"1. textbook, coursebook, schoolbook",N3,2,♬～歴史の<b>教科書</b>　表紙の表紙より,♬～From the cover of the history textbook,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
年,とし,"1. year<br>2. age, years<br>3. past one's prime, old age",N5,2,私達がもう１<b>年</b>　学校にいて,We've been in school for another year,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
んと,うんと,"1. a great deal, very much, a lot<br>2. with a great amount of effort",Unlabeled,2,あずにゃ<b>んと</b>一緒に卒業できると,I hope I can graduate with Azu-nyan.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
空耳,そらみみ,1. mishearing<br>2. (feigned) deafness<br>3. homophonic translation of song lyrics for comic effect,Unlabeled,2,♬～<b>空耳</b>　たぶん空耳　空の耳～,"♬~Sora-mimi, probably sky-ears, sky-ears~",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
相談,そうだん,"1. consultation, discussion, discussing, asking (somebody) for advice",N4,2,どこに行くかを<b>相談</b>してたの,We were talking about where to go,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
都市,とし,"1. town, city, municipal, urban",N3,2,リューネンって<b>都市</b>があって,There's a city called Lünen.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ミュージシャン,ミュージシャン,1. musician,Unlabeled,2,もし偶然　誰か<b>ミュージシャン</b>に,If someone happens to be a musician,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
歴史,れきし,1. history,N4,2,音楽の<b>歴史</b>もあるし,There is also a history of music.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
バラバラ,バラバラ,"1. scattered, disperse, loose, disconnected, in pieces, in drops, rustling",Unlabeled,2,<b>バラバラ</b>ですね,It's falling apart,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
あみだくじ,あみだくじ,"1. ghostleg lottery, ladder lottery, lottery in which participants trace a line across a lattice pattern to determine the winner",Unlabeled,2,<b>あみだくじ</b>で行くとこ決めよう,Let's decide where to go using the Amidakuji lottery.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
タイプ,タイプ,"1. type, kind, sort, style<br>2. type (of person), (ideal) type, one's type<br>3. typewriter<br>4. typing",N4,2,あみだくじは得意な<b>タイプ</b>だよ,Amidakuji is my favorite type.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
部長,ぶちょう,"1. head (chief, director) of a section or department<br>2. head of a (school) club, head of a (school) team",N4,2,では　<b>部長</b>の田井中律さん　どうぞ,"Now, Director Ritsu Tainaka, please.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
さあ,さあ,"1. come, come now, come along, go on, hurry up<br>2. well, who knows, I don't know..., uh, hmm<br>3. well now, let's see, there we go, all right<br>4. about that, you see",N5,2,<b>さあ</b>　後はあずにゃんの歌を,"Now, let's sing Azunyan's song",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
全て,すべて,"1. everything, all, the whole<br>2. entirely, completely, wholly, all",N3,2,<b>全て</b>　お見通しです,You can see everything,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ティーカップ,ティーカップ,1. teacup,Unlabeled,2,どの<b>ティーカップ</b>を選ぶか,which teacup to choose,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
さい,きわ,"1. edge, brink, verge, side<br>2. time, moment of",Unlabeled,2,<b>さい</b>ですか,Is it old?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
部屋,へや,"1. room, chamber<br>2. apartment, flat, pad<br>3. stable",N5,2,５人だったら　<b>部屋</b>は２つかな,"If there are 5 people, there will be 2 rooms.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
お邪魔,おじゃま,"1. hindrance, intrusion",Unlabeled,2,本当に　<b>お邪魔</b>じゃないですかね,"It really doesn't bother you, does it?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
当たり前,あたりまえ,"1. natural, reasonable, obvious<br>2. usual, common, ordinary, commonplace, the norm",N1,2,<b>当たり前</b>だ！,Of course!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
スッポン,すっぽん,"1. Chinese soft-shelled turtle (Pelodiscus sinensis), soft-shelled turtle (Trionychidae)<br>2. trap door located on the walkway in a kabuki theatre<br>3. bilge pump (used on traditional Japanese ships)",Unlabeled,2,<b>スッポン</b>が決めたの？,Did the soft-shelled turtle decide?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
隠す,かくす,"1. to hide, to conceal",N3,2,私に<b>隠し</b>てるみたいなんだよね,It's like you're hiding it from me,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
いらっしゃる,いらっしゃる,"1. to come, to go, to be (somewhere)<br>2. to be (doing)",N4,2,は～い　<b>いらっしゃい</b>,"Hello, welcome",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
泊,はく,"1. counter for nights of a stay<br>2. overnight stay, lodging",N1,2,３<b>泊</b>５日ですね,It's 3 nights and 5 days.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
減る,へる,"1. to decrease (in size or number), to diminish, to abate",N3,2,３　えッ　<b>減っ</b>てない？,"3 Eh, isn't it decreasing?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
市,いち,"1. market, fair",N4,2,このホテル　<b>市</b>内にいくつかあると,There are several hotels in the city.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
内,うち,"1. inside, within<br>2. while (e.g. one is young), during, within (e.g. a day), in the course of<br>3. among, amongst, (out) of, between<br>4. in (secret, chaos, poverty, etc.), amidst, with (e.g. success)<br>5. within oneself, one's feelings, inner thoughts<br>6. we, our company, our organization<br>7. one's home, one's family<br>8. my spouse, my husband, my wife<br>9. signed on behalf of (husband's name) by his wife<br>10. I, me<br>11. imperial palace grounds<br>12. emperor",N3,2,このホテル　市<b>内</b>にいくつかあると,There are several hotels in the city.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
よろしい,よろしい,"1. good, OK, all right, fine, very well, will do, may, can",N4,2,<b>よろしい</b>ですか？,Are you sure?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
願う,ねがう,"1. to desire, to wish, to hope<br>2. to beg, to request, to implore, to pray<br>3. to have something done for oneself",N3,2,☎あなた達にもお<b>願い</b>できない？,☎Can I ask you guys a favor too?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
宇宙,うちゅう,"1. universe, cosmos, space",N3,2,<b>宇宙</b>との交信を試みてきます,I will try to communicate with the universe,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
交信,こうしん,"1. telecommunications, correspondence",Unlabeled,2,宇宙との<b>交信</b>を試みてきます,I will try to communicate with the universe,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
土産,みやげ,"1. local specialty or souvenir bought as a gift while travelling<br>2. present brought by a visitor<br>3. something unpleasant that one is given (e.g. an illness while on vacation), unwelcome gift, disservice",N3,2,お<b>土産</b>　何がいい？,What would you like as a souvenir?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
任せる,まかせる,"1. to entrust (e.g. a task) to another, to leave to<br>2. to passively leave to someone else's facilities<br>3. to leave to take its natural course<br>4. to continue (something) in a natural fashion (without particular aim)<br>5. to rely fully on one's (full strength, great ability, long time taken) to get something done",N3,2,ここは私に<b>任せ</b>ておけ,leave this to me,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
予定,よてい,"1. plans, arrangement, schedule, program, programme, expectation, estimate",N4,2,<b>予定</b>に入れられるかな,Can I schedule it?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
入れる,いれる,"1. to put in, to let in, to take in, to bring in, to insert, to install (e.g. software), to set (a jewel, etc.), to ink in (e.g. tattoo)<br>2. to admit, to accept, to employ, to hire<br>3. to accept, to comply, to grant, to adopt (a policy, etc.), to take (advice, etc.), to listen to, to pay attention to<br>4. to include<br>5. to pay (one's rent, etc.)<br>6. to cast (a vote)<br>7. to make (tea, coffee, etc.)<br>8. to turn on (a switch, etc.)<br>9. to send (a fax), to call",N5,2,予定に<b>入れ</b>られるかな,Can I schedule it?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
高い,たかい,"1. high, tall<br>2. expensive, high-priced<br>3. high (level), above average (in degree, quality, etc.)<br>4. loud<br>5. high-pitched, shrill",N5,2,オカルト研のも　かなり再現度<b>高い</b>な,The one from Occult Lab has a pretty high degree of reproducibility.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
リクエスト,リクエスト,1. request,Unlabeled,2,皆さん　他に<b>リクエスト</b>はないですね,"Everyone, I don't have any other requests.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
頼む,たのむ,"1. to request, to beg, to ask<br>2. to call, to order, to reserve<br>3. to entrust to<br>4. to rely on<br>5. please, please do",N5,2,<b>頼ん</b>じゃっていいのか？,Is it okay if I ask?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
じゃう,ちゃう,"1. to do completely<br>2. to do accidentally, to do without meaning to, to happen to do",Unlabeled,2,頼ん<b>じゃっ</b>ていいのか？,Is it okay if I ask?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
なくなる,なくなる,1. to die,Unlabeled,2,<b>なくなる</b>んだよな,It's going to disappear,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
つまる,つまる,"1. to be packed (with), to be full (space, schedule, etc.)<br>2. to be blocked (road, pipe, nose, etc.), to be clogged, to be plugged up<br>3. to shorten (width, interval, etc.), to shrink (shirt, word form, etc.), to narrow<br>4. to be at a loss, to be hard pressed<br>5. to end up, to be settled<br>6. to become a geminate consonant<br>7. to hit the ball near the handle of the bat",Unlabeled,2,<b>つまら</b>ないものですが,It's boring though,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
おく,おく,"1. inner part, inside, interior, depths (e.g. of a forest), back (of a house, drawer, etc.), bottom (e.g. of one's heart), recesses, heart",Unlabeled,2,ここは私に任せて<b>おけ</b>,leave this to me,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
感謝,かんしゃ,"1. thanks, gratitude",N3,2,日頃の<b>感謝</b>の気持ちを,Feelings of daily gratitude,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
なり,かたち,"1. form, shape, figure<br>2. visage",Unlabeled,2,私ら<b>なり</b>に表現する　となると,When it comes to expressing it in my own way,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
劇,げき,"1. drama, play<br>2. powerful drug",N3,2,もう<b>劇</b>は嫌だ,I don't like the play anymore,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ムスタング,ムスタング,1. mustang,Unlabeled,2,<b>ムスタング</b>だろ,It's a Mustang,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
しまう,しまう,"1. to finish, to stop, to end, to put an end to, to bring to a close<br>2. to close (a business, etc.), to close down, to shut down, to shut up<br>3. to put away, to put back, to keep, to store<br>4. to do completely, to finish<br>5. to do accidentally, to do without meaning to, to happen to do",N3,2,<b>しまっ</b>た　打ちどころが悪かったか,"Sorry, I didn't hit well.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
後輩,こうはい,"1. junior (at work, school, etc.), younger people, younger student",N2,2,いいよね　先輩が<b>後輩</b>に贈る曲,That's great. A song from a senior to a junior.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
めちゃくちゃ,めちゃくちゃ,"1. absurd, unreasonable, nonsensical, preposterous, incoherent<br>2. extreme, senseless, reckless, wanton<br>3. disorderly, chaotic, confused, messy<br>4. incredibly, really, so, super",N2,2,<b>めちゃくちゃ</b>カッコイイよ,It's so cool,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ドーン,ドーン,"1. bang, whump, boom",Unlabeled,2,バーンとして　<b>ドーン</b>として,As Burn As Dawn,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
たった,ただ,"1. ordinary, common, usual<br>2. free of charge<br>3. unaffected, as is, safe<br>4. only, merely, just, simply<br>5. but, however, nevertheless",N1,2,あの　<b>たった</b>今です,It was just now.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
楽しむ,たのしむ,1. to enjoy (oneself),N1,2,こいつ　<b>楽しん</b>でんな,This guy is having fun,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
んな,そんな,"1. such, that sort of, that kind of, like that<br>2. no way!, never!",Unlabeled,2,こいつ　楽しんで<b>んな</b>,This guy is having fun,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ワールドワイド,ワールドワイド,1. worldwide,Unlabeled,2,<b>ワールドワイド</b>な曲ができるね　こりゃ,You can make songs that are worldwide.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
こりゃ,これ,"1. this, this one<br>2. this person<br>3. now, this point (in time)<br>4. here<br>5. used to stress the subject of a sentence<br>6. I, me",Unlabeled,2,ワールドワイドな曲ができるね　<b>こりゃ</b>,You can make songs that are worldwide.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
制服,せいふく,1. uniform,N1,2,<b>制服</b>も持っていくんだよね,You'll also need to bring your uniform.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
